AIRLINE,FROM_JFK,TO JFK,SCHEDULED_DEPARTURE_TIME,FEDERAL_HOLIDAY,STATE_HOLIDAY,WEEKEND,LONG_WEEKEND,WIND_DIRECTION,WIND SPEED ,ALTIMETER,0.0slp,t0.0pc,VISIBILITY,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,SCHEDULED_TIME,ELAPSED_TIME,DEPARTURE_DELAY,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,CANCELLED
B6,SJU,JFK,0.08,1,,,,250,12,30.16,1021.4,-1.7,10,0.08,0.20,0.21,235,248,-2,11,0,0,0,0,0,0
B6,BUF,JFK,0.23,1,,,,270,12,30.16,1021.1,-1.7,10,0.23,0.29,0.28,88,78,-5,-15,0,0,0,0,0,0
B6,PWM,JFK,0.23,1,,,,270,12,30.16,1021.1,-1.7,10,0.23,0.29,0.27,85,67,-7,-25,0,0,0,0,0,0
B6,JFK,SJU,0.23,1,,,,270,12,30.16,1021.1,-1.7,10,0.26,0.43,0.44,225,201,43,19,0,0,19,0,0,0
AA,JFK,MIA,0.24,1,,,,270,12,30.16,1021.1,-1.7,10,0.28,0.37,0.42,185,199,55,69,14,0,55,0,0,0
B6,BOS,JFK,0.24,1,,,,270,12,30.16,1021.1,-1.7,10,0.24,0.29,0.28,77,66,-2,-13,0,0,0,0,0,0
B6,JFK,BQN,0.24,1,,,,270,12,30.16,1021.1,-1.7,10,0.24,0.43,0.42,221,202,0,-19,0,0,0,0,0,0
B6,SYR,JFK,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.24,0.30,0.30,83,75,-5,-13,0,0,0,0,0,0
B6,ROC,JFK,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.24,0.31,0.29,85,73,-5,-17,0,0,0,0,0,0
B6,RSW,JFK,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.25,0.36,0.36,161,162,-3,-2,0,0,0,0,0,0
B6,PBI,JFK,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.25,0.36,0.36,154,164,-1,9,0,0,0,0,0,0
B6,JFK,PBI,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.25,0.37,0.36,178,162,-6,-22,0,0,0,0,0,0
B6,TPA,JFK,0.25,1,,,,260,14,30.18,1021.9,-2.2,10,0.25,0.35,0.35,151,153,-7,-5,0,0,0,0,0,0
